#_1.r   2.|psi|   3.d|psi|/dr 

  1.3800    6.7248e-01   -8.1756e-01
  1.3900    6.6435e-01   -8.0799e-01
  1.4000    6.5632e-01   -7.9851e-01
  1.4100    6.4838e-01   -7.8911e-01
  1.4200    6.4053e-01   -7.7980e-01
  1.4300    6.3278e-01   -7.7057e-01
  1.4400    6.2512e-01   -7.6143e-01
  1.4500    6.1755e-01   -7.5238e-01
  1.4600    6.1007e-01   -7.4342e-01
  1.4700    6.0268e-01   -7.3454e-01
  1.4800    5.9538e-01   -7.2575e-01
  1.4900    5.8817e-01   -7.1704e-01
  1.5000    5.8104e-01   -7.0843e-01
  1.5100    5.7400e-01   -6.9990e-01
  1.5200    5.6704e-01   -6.9146e-01
  1.5300    5.6017e-01   -6.8311e-01
  1.5400    5.5338e-01   -6.7484e-01
  1.5500    5.4667e-01   -6.6666e-01
  1.5600    5.4005e-01   -6.5857e-01
  1.5700    5.3350e-01   -6.5057e-01
  1.5800    5.2704e-01   -6.4265e-01
  1.5900    5.2065e-01   -6.3482e-01
  1.6000    5.1434e-01   -6.2708e-01
  1.6100    5.0811e-01   -6.1942e-01
  1.6200    5.0195e-01   -6.1184e-01
  1.6300    4.9587e-01   -6.0435e-01
  1.6400    4.8986e-01   -5.9695e-01
  1.6500    4.8393e-01   -5.8963e-01
  1.6600    4.7807e-01   -5.8239e-01
  1.6700    4.7228e-01   -5.7524e-01
  1.6800    4.6657e-01   -5.6816e-01
  1.6900    4.6092e-01   -5.6117e-01
  1.7000    4.5534e-01   -5.5426e-01
  1.7100    4.4983e-01   -5.4743e-01
  1.7200    4.4439e-01   -5.4068e-01
  1.7300    4.3902e-01   -5.3401e-01
  1.7400    4.3371e-01   -5.2742e-01
  1.7500    4.2847e-01   -5.2091e-01
  1.7600    4.2329e-01   -5.1447e-01
  1.7700    4.1818e-01   -5.0811e-01
  1.7800    4.1313e-01   -5.0183e-01
  1.7900    4.0814e-01   -4.9562e-01
  1.8000    4.0322e-01   -4.8949e-01
  1.8100    3.9835e-01   -4.8343e-01
  1.8200    3.9355e-01   -4.7744e-01
  1.8300    3.8881e-01   -4.7153e-01
  1.8400    3.8412e-01   -4.6569e-01
  1.8500    3.7949e-01   -4.5992e-01
  1.8600    3.7492e-01   -4.5422e-01
  1.8700    3.7041e-01   -4.4859e-01
  1.8800    3.6595e-01   -4.4303e-01
  1.8900    3.6155e-01   -4.3754e-01
  1.9000    3.5720e-01   -4.3211e-01
  1.9100    3.5290e-01   -4.2676e-01
  1.9200    3.4866e-01   -4.2147e-01
  1.9300    3.4447e-01   -4.1624e-01
  1.9400    3.4034e-01   -4.1108e-01
  1.9500    3.3625e-01   -4.0598e-01
  1.9600    3.3222e-01   -4.0095e-01
  1.9700    3.2823e-01   -3.9598e-01
  1.9800    3.2430e-01   -3.9107e-01
  1.9900    3.2041e-01   -3.8623e-01
  2.0000    3.1657e-01   -3.8144e-01
  2.0100    3.1278e-01   -3.7672e-01
  2.0200    3.0904e-01   -3.7205e-01
  2.0300    3.0534e-01   -3.6744e-01
  2.0400    3.0169e-01   -3.6289e-01
  2.0500    2.9808e-01   -3.5840e-01
  2.0600    2.9452e-01   -3.5396e-01
  2.0700    2.9100e-01   -3.4958e-01
  2.0800    2.8753e-01   -3.4526e-01
  2.0900    2.8410e-01   -3.4099e-01
  2.1000    2.8071e-01   -3.3677e-01
  2.1100    2.7736e-01   -3.3261e-01
  2.1200    2.7406e-01   -3.2850e-01
  2.1300    2.7079e-01   -3.2444e-01
  2.1400    2.6757e-01   -3.2043e-01
  2.1500    2.6438e-01   -3.1648e-01
  2.1600    2.6124e-01   -3.1257e-01
  2.1700    2.5813e-01   -3.0871e-01
  2.1800    2.5506e-01   -3.0491e-01
  2.1900    2.5203e-01   -3.0115e-01
  2.2000    2.4904e-01   -2.9743e-01
  2.2100    2.4609e-01   -2.9377e-01
  2.2200    2.4317e-01   -2.9015e-01
  2.2300    2.4028e-01   -2.8658e-01
  2.2400    2.3743e-01   -2.8305e-01
  2.2500    2.3462e-01   -2.7957e-01
  2.2600    2.3184e-01   -2.7613e-01
  2.2700    2.2910e-01   -2.7274e-01
  2.2800    2.2639e-01   -2.6939e-01
  2.2900    2.2371e-01   -2.6608e-01
  2.3000    2.2107e-01   -2.6282e-01
  2.3100    2.1845e-01   -2.5959e-01
  2.3200    2.1587e-01   -2.5641e-01
  2.3300    2.1333e-01   -2.5326e-01
  2.3400    2.1081e-01   -2.5016e-01
  2.3500    2.0832e-01   -2.4710e-01
  2.3600    2.0587e-01   -2.4407e-01
  2.3700    2.0344e-01   -2.4109e-01
  2.3800    2.0104e-01   -2.3814e-01
  2.3900    1.9868e-01   -2.3523e-01
  2.4000    1.9634e-01   -2.3235e-01
  2.4100    1.9403e-01   -2.2951e-01
  2.4200    1.9175e-01   -2.2671e-01
  2.4300    1.8950e-01   -2.2395e-01
  2.4400    1.8727e-01   -2.2121e-01
  2.4500    1.8507e-01   -2.1852e-01
  2.4600    1.8290e-01   -2.1586e-01
  2.4700    1.8075e-01   -2.1323e-01
  2.4800    1.7863e-01   -2.1063e-01
  2.4900    1.7654e-01   -2.0807e-01
  2.5000    1.7447e-01   -2.0554e-01
  2.5100    1.7243e-01   -2.0304e-01
  2.5200    1.7041e-01   -2.0058e-01
  2.5300    1.6842e-01   -1.9814e-01
  2.5400    1.6645e-01   -1.9574e-01
  2.5500    1.6450e-01   -1.9336e-01
  2.5600    1.6258e-01   -1.9102e-01
  2.5700    1.6068e-01   -1.8871e-01
  2.5800    1.5881e-01   -1.8642e-01
  2.5900    1.5696e-01   -1.8416e-01
  2.6000    1.5512e-01   -1.8194e-01
  2.6100    1.5332e-01   -1.7974e-01
  2.6200    1.5153e-01   -1.7756e-01
  2.6300    1.4976e-01   -1.7542e-01
  2.6400    1.4802e-01   -1.7330e-01
  2.6500    1.4630e-01   -1.7121e-01
  2.6600    1.4460e-01   -1.6915e-01
  2.6700    1.4292e-01   -1.6711e-01
  2.6800    1.4125e-01   -1.6509e-01
  2.6900    1.3961e-01   -1.6311e-01
  2.7000    1.3799e-01   -1.6114e-01
  2.7100    1.3639e-01   -1.5921e-01
  2.7200    1.3481e-01   -1.5729e-01
  2.7300    1.3324e-01   -1.5540e-01
  2.7400    1.3170e-01   -1.5354e-01
  2.7500    1.3017e-01   -1.5169e-01
  2.7600    1.2867e-01   -1.4987e-01
  2.7700    1.2718e-01   -1.4808e-01
  2.7800    1.2570e-01   -1.4630e-01
  2.7900    1.2425e-01   -1.4455e-01
  2.8000    1.2281e-01   -1.4282e-01
  2.8100    1.2139e-01   -1.4111e-01
  2.8200    1.1999e-01   -1.3942e-01
  2.8300    1.1861e-01   -1.3776e-01
  2.8400    1.1724e-01   -1.3611e-01
  2.8500    1.1588e-01   -1.3448e-01
  2.8600    1.1455e-01   -1.3288e-01
  2.8700    1.1323e-01   -1.3129e-01
  2.8800    1.1192e-01   -1.2973e-01
  2.8900    1.1063e-01   -1.2818e-01
  2.9000    1.0936e-01   -1.2666e-01
  2.9100    1.0810e-01   -1.2515e-01
  2.9200    1.0685e-01   -1.2366e-01
  2.9300    1.0562e-01   -1.2219e-01
  2.9400    1.0441e-01   -1.2074e-01
  2.9500    1.0321e-01   -1.1930e-01
  2.9600    1.0202e-01   -1.1788e-01
  2.9700    1.0085e-01   -1.1649e-01
  2.9800    9.9694e-02   -1.1510e-01
  2.9900    9.8550e-02   -1.1374e-01
  3.0000    9.7419e-02   -1.1239e-01
  3.0100    9.6302e-02   -1.1106e-01
  3.0200    9.5198e-02   -1.0974e-01
  3.0300    9.4107e-02   -1.0845e-01
  3.0400    9.3029e-02   -1.0716e-01
  3.0500    9.1964e-02   -1.0590e-01
  3.0600    9.0911e-02   -1.0465e-01
  3.0700    8.9871e-02   -1.0341e-01
  3.0800    8.8843e-02   -1.0219e-01
  3.0900    8.7827e-02   -1.0098e-01
  3.1000    8.6823e-02   -9.9792e-02
  3.1100    8.5831e-02   -9.8616e-02
  3.1200    8.4851e-02   -9.7454e-02
  3.1300    8.3882e-02   -9.6306e-02
  3.1400    8.2925e-02   -9.5173e-02
  3.1500    8.1978e-02   -9.4053e-02
  3.1600    8.1043e-02   -9.2947e-02
  3.1700    8.0120e-02   -9.1854e-02
  3.1800    7.9206e-02   -9.0775e-02
  3.1900    7.8304e-02   -8.9709e-02
  3.2000    7.7412e-02   -8.8656e-02
  3.2100    7.6531e-02   -8.7616e-02
  3.2200    7.5660e-02   -8.6589e-02
  3.2300    7.4799e-02   -8.5574e-02
  3.2400    7.3948e-02   -8.4571e-02
  3.2500    7.3108e-02   -8.3581e-02
  3.2600    7.2277e-02   -8.2602e-02
  3.2700    7.1455e-02   -8.1636e-02
  3.2800    7.0644e-02   -8.0681e-02
  3.2900    6.9842e-02   -7.9738e-02
  3.3000    6.9049e-02   -7.8806e-02
  3.3100    6.8266e-02   -7.7886e-02
  3.3200    6.7491e-02   -7.6977e-02
  3.3300    6.6726e-02   -7.6079e-02
  3.3400    6.5970e-02   -7.5191e-02
  3.3500    6.5222e-02   -7.4315e-02
  3.3600    6.4483e-02   -7.3449e-02
  3.3700    6.3753e-02   -7.2593e-02
  3.3800    6.3031e-02   -7.1748e-02
  3.3900    6.2318e-02   -7.0913e-02
  3.4000    6.1613e-02   -7.0088e-02
  3.4100    6.0916e-02   -6.9273e-02
  3.4200    6.0228e-02   -6.8468e-02
  3.4300    5.9547e-02   -6.7672e-02
  3.4400    5.8874e-02   -6.6886e-02
  3.4500    5.8209e-02   -6.6110e-02
  3.4600    5.7552e-02   -6.5343e-02
  3.4700    5.6902e-02   -6.4585e-02
  3.4800    5.6260e-02   -6.3836e-02
  3.4900    5.5626e-02   -6.3097e-02
  3.5000    5.4998e-02   -6.2366e-02
  3.5100    5.4378e-02   -6.1643e-02
  3.5200    5.3765e-02   -6.0930e-02
  3.5300    5.3160e-02   -6.0225e-02
