#_1.r   2.|psi|   3.d|psi|/dr 

  6.0300    3.3957e-03   -3.6370e-03
  6.0400    3.3595e-03   -3.5973e-03
  6.0500    3.3237e-03   -3.5579e-03
  6.0600    3.2884e-03   -3.5190e-03
  6.0700    3.2534e-03   -3.4806e-03
  6.0800    3.2187e-03   -3.4425e-03
  6.0900    3.1845e-03   -3.4049e-03
  6.1000    3.1506e-03   -3.3676e-03
  6.1100    3.1172e-03   -3.3308e-03
  6.1200    3.0840e-03   -3.2944e-03
  6.1300    3.0513e-03   -3.2584e-03
  6.1400    3.0189e-03   -3.2227e-03
  6.1500    2.9868e-03   -3.1875e-03
  6.1600    2.9551e-03   -3.1526e-03
  6.1700    2.9238e-03   -3.1181e-03
  6.1800    2.8928e-03   -3.0840e-03
  6.1900    2.8621e-03   -3.0503e-03
  6.2000    2.8317e-03   -3.0169e-03
  6.2100    2.8017e-03   -2.9839e-03
  6.2200    2.7721e-03   -2.9513e-03
  6.2300    2.7427e-03   -2.9190e-03
  6.2400    2.7137e-03   -2.8871e-03
  6.2500    2.6850e-03   -2.8555e-03
  6.2600    2.6566e-03   -2.8242e-03
  6.2700    2.6285e-03   -2.7933e-03
  6.2800    2.6007e-03   -2.7628e-03
  6.2900    2.5732e-03   -2.7325e-03
  6.3000    2.5461e-03   -2.7026e-03
  6.3100    2.5192e-03   -2.6730e-03
  6.3200    2.4926e-03   -2.6437e-03
  6.3300    2.4663e-03   -2.6148e-03
  6.3400    2.4403e-03   -2.5862e-03
  6.3500    2.4146e-03   -2.5578e-03
  6.3600    2.3891e-03   -2.5298e-03
  6.3700    2.3640e-03   -2.5021e-03
  6.3800    2.3391e-03   -2.4747e-03
  6.3900    2.3145e-03   -2.4476e-03
  6.4000    2.2901e-03   -2.4207e-03
  6.4100    2.2661e-03   -2.3942e-03
  6.4200    2.2423e-03   -2.3679e-03
  6.4300    2.2187e-03   -2.3420e-03
  6.4400    2.1954e-03   -2.3163e-03
  6.4500    2.1724e-03   -2.2909e-03
  6.4600    2.1496e-03   -2.2657e-03
  6.4700    2.1271e-03   -2.2409e-03
  6.4800    2.1048e-03   -2.2163e-03
  6.4900    2.0827e-03   -2.1919e-03
  6.5000    2.0609e-03   -2.1678e-03
  6.5100    2.0394e-03   -2.1440e-03
  6.5200    2.0181e-03   -2.1205e-03
  6.5300    1.9970e-03   -2.0972e-03
  6.5400    1.9761e-03   -2.0741e-03
  6.5500    1.9555e-03   -2.0513e-03
  6.5600    1.9351e-03   -2.0287e-03
  6.5700    1.9149e-03   -2.0064e-03
  6.5800    1.8950e-03   -1.9843e-03
  6.5900    1.8752e-03   -1.9625e-03
  6.6000    1.8557e-03   -1.9409e-03
  6.6100    1.8364e-03   -1.9195e-03
  6.6200    1.8173e-03   -1.8983e-03
  6.6300    1.7985e-03   -1.8774e-03
  6.6400    1.7798e-03   -1.8567e-03
  6.6500    1.7613e-03   -1.8362e-03
  6.6600    1.7431e-03   -1.8159e-03
  6.6700    1.7250e-03   -1.7959e-03
  6.6800    1.7071e-03   -1.7761e-03
  6.6900    1.6895e-03   -1.7564e-03
  6.7000    1.6720e-03   -1.7370e-03
  6.7100    1.6547e-03   -1.7178e-03
  6.7200    1.6377e-03   -1.6988e-03
  6.7300    1.6208e-03   -1.6800e-03
  6.7400    1.6041e-03   -1.6614e-03
  6.7500    1.5875e-03   -1.6430e-03
  6.7600    1.5712e-03   -1.6248e-03
  6.7700    1.5550e-03   -1.6068e-03
  6.7800    1.5391e-03   -1.5889e-03
  6.7900    1.5233e-03   -1.5713e-03
  6.8000    1.5076e-03   -1.5538e-03
  6.8100    1.4922e-03   -1.5366e-03
  6.8200    1.4769e-03   -1.5195e-03
  6.8300    1.4618e-03   -1.5026e-03
  6.8400    1.4468e-03   -1.4858e-03
  6.8500    1.4321e-03   -1.4693e-03
  6.8600    1.4175e-03   -1.4529e-03
  6.8700    1.4030e-03   -1.4367e-03
  6.8800    1.3887e-03   -1.4207e-03
  6.8900    1.3746e-03   -1.4048e-03
  6.9000    1.3606e-03   -1.3891e-03
  6.9100    1.3468e-03   -1.3736e-03
  6.9200    1.3332e-03   -1.3582e-03
  6.9300    1.3197e-03   -1.3430e-03
  6.9400    1.3063e-03   -1.3279e-03
  6.9500    1.2931e-03   -1.3130e-03
  6.9600    1.2800e-03   -1.2983e-03
  6.9700    1.2671e-03   -1.2837e-03
  6.9800    1.2544e-03   -1.2693e-03
  6.9900    1.2417e-03   -1.2550e-03
  7.0000    1.2293e-03   -1.2408e-03
  7.0100    1.2169e-03   -1.2268e-03
  7.0200    1.2047e-03   -1.2130e-03
  7.0300    1.1927e-03   -1.1993e-03
  7.0400    1.1807e-03   -1.1857e-03
  7.0500    1.1690e-03   -1.1723e-03
  7.0600    1.1573e-03   -1.1590e-03
  7.0700    1.1458e-03   -1.1459e-03
  7.0800    1.1344e-03   -1.1329e-03
  7.0900    1.1231e-03   -1.1200e-03
  7.1000    1.1120e-03   -1.1072e-03
  7.1100    1.1010e-03   -1.0946e-03
  7.1200    1.0901e-03   -1.0821e-03
  7.1300    1.0793e-03   -1.0698e-03
  7.1400    1.0687e-03   -1.0576e-03
  7.1500    1.0582e-03   -1.0455e-03
  7.1600    1.0478e-03   -1.0335e-03
  7.1700    1.0375e-03   -1.0216e-03
  7.1800    1.0274e-03   -1.0099e-03
  7.1900    1.0173e-03   -9.9825e-04
  7.2000    1.0074e-03   -9.8675e-04
  7.2100    9.9758e-04   -9.7536e-04
  7.2200    9.8788e-04   -9.6409e-04
  7.2300    9.7829e-04   -9.5293e-04
  7.2400    9.6882e-04   -9.4189e-04
  7.2500    9.5946e-04   -9.3095e-04
  7.2600    9.5020e-04   -9.2013e-04
  7.2700    9.4105e-04   -9.0942e-04
  7.2800    9.3201e-04   -8.9881e-04
  7.2900    9.2308e-04   -8.8831e-04
  7.3000    9.1425e-04   -8.7791e-04
  7.3100    9.0552e-04   -8.6762e-04
  7.3200    8.9690e-04   -8.5743e-04
  7.3300    8.8837e-04   -8.4734e-04
  7.3400    8.7995e-04   -8.3735e-04
  7.3500    8.7163e-04   -8.2746e-04
  7.3600    8.6340e-04   -8.1766e-04
  7.3700    8.5527e-04   -8.0797e-04
  7.3800    8.4724e-04   -7.9836e-04
  7.3900    8.3931e-04   -7.8886e-04
  7.4000    8.3146e-04   -7.7944e-04
  7.4100    8.2372e-04   -7.7012e-04
  7.4200    8.1606e-04   -7.6089e-04
  7.4300    8.0850e-04   -7.5175e-04
  7.4400    8.0103e-04   -7.4270e-04
  7.4500    7.9364e-04   -7.3373e-04
  7.4600    7.8635e-04   -7.2485e-04
  7.4700    7.7915e-04   -7.1606e-04
  7.4800    7.7203e-04   -7.0735e-04
  7.4900    7.6500e-04   -6.9873e-04
  7.5000    7.5806e-04   -6.9019e-04
  7.5100    7.5120e-04   -6.8173e-04
  7.5200    7.4442e-04   -6.7335e-04
  7.5300    7.3773e-04   -6.6505e-04
  7.5400    7.3112e-04   -6.5683e-04
  7.5500    7.2459e-04   -6.4869e-04
  7.5600    7.1815e-04   -6.4062e-04
  7.5700    7.1178e-04   -6.3263e-04
  7.5800    7.0550e-04   -6.2471e-04
  7.5900    6.9929e-04   -6.1687e-04
  7.6000    6.9316e-04   -6.0910e-04
  7.6100    6.8711e-04   -6.0140e-04
  7.6200    6.8113e-04   -5.9378e-04
  7.6300    6.7523e-04   -5.8622e-04
  7.6400    6.6941e-04   -5.7874e-04
  7.6500    6.6366e-04   -5.7132e-04
  7.6600    6.5798e-04   -5.6397e-04
  7.6700    6.5238e-04   -5.5669e-04
  7.6800    6.4685e-04   -5.4947e-04
  7.6900    6.4139e-04   -5.4232e-04
  7.7000    6.3600e-04   -5.3523e-04
  7.7100    6.3068e-04   -5.2821e-04
  7.7200    6.2543e-04   -5.2125e-04
  7.7300    6.2026e-04   -5.1435e-04
  7.7400    6.1515e-04   -5.0751e-04
  7.7500    6.1011e-04   -5.0074e-04
  7.7600    6.0513e-04   -4.9402e-04
  7.7700    6.0023e-04   -4.8736e-04
  7.7800    5.9539e-04   -4.8076e-04
  7.7900    5.9061e-04   -4.7422e-04
  7.8000    5.8590e-04   -4.6773e-04
  7.8100    5.8126e-04   -4.6130e-04
  7.8200    5.7668e-04   -4.5492e-04
  7.8300    5.7216e-04   -4.4860e-04
  7.8400    5.6770e-04   -4.4233e-04
  7.8500    5.6331e-04   -4.3612e-04
  7.8600    5.5898e-04   -4.2996e-04
  7.8700    5.5471e-04   -4.2385e-04
  7.8800    5.5050e-04   -4.1779e-04
  7.8900    5.4636e-04   -4.1178e-04
  7.9000    5.4227e-04   -4.0581e-04
  7.9100    5.3824e-04   -3.9990e-04
  7.9200    5.3427e-04   -3.9404e-04
  7.9300    5.3036e-04   -3.8822e-04
  7.9400    5.2651e-04   -3.8245e-04
  7.9500    5.2271e-04   -3.7673e-04
  7.9600    5.1897e-04   -3.7105e-04
  7.9700    5.1529e-04   -3.6542e-04
  7.9800    5.1166e-04   -3.5983e-04
  7.9900    5.0809e-04   -3.5428e-04
  8.0000    5.0458e-04   -3.4878e-04
